seasondoubleyear,Team_Name,Team_ID,season,SeasonStartYear,SeasonEndYear,coach,school,coachtenure,totalgames,totalwins,totallosses,seasonwinpercentage,ncaavisits,ncaavisit,regseasonchamp,ncaachamp
1984-1985,Akron,1103,1984-85,1984,1985,"Bob Huggins",Akron,0,26,12,14,0.4615,0,0,0,0
1985-1986,Akron,1103,1985-86,1985,1986,"Bob Huggins",Akron,1,30,22,8,0.7333,0,1,1,1
1986-1987,Akron,1103,1986-87,1986,1987,"Bob Huggins",Akron,2,30,21,9,0.7000,1,0,0,0
1987-1988,Akron,1103,1987-88,1987,1988,"Bob Huggins",Akron,3,28,21,7,0.7500,1,0,0,0
1988-1989,Akron,1103,1988-89,1988,1989,"Bob Huggins",Akron,4,29,21,8,0.7241,1,0,0,0
1980-1981,Akron,1103,1980-81,1980,1981,"Bob Rupert",Akron,0,26,8,18,0.3077,0,0,0,0
1981-1982,Akron,1103,1981-82,1981,1982,"Bob Rupert",Akron,1,26,7,19,0.2692,0,0,0,0
1982-1983,Akron,1103,1982-83,1982,1983,"Bob Rupert",Akron,2,29,14,15,0.4828,0,0,0,0
1983-1984,Akron,1103,1983-84,1983,1984,"Bob Rupert",Akron,3,27,8,19,0.2963,0,0,0,0
2009-2010,Alabama,1104,2009-10,2009,2010,"Anthony Grant",Alabama,3,32,17,15,0.5313,2,0,0,0
2010-2011,Alabama,1104,2010-11,2010,2011,"Anthony Grant",Alabama,4,37,25,12,0.6757,2,0,1,0
2011-2012,Alabama,1104,2011-12,2011,2012,"Anthony Grant",Alabama,5,33,21,12,0.6364,2,1,0,0
2012-2013,Alabama,1104,2012-13,2012,2013,"Anthony Grant",Alabama,6,36,23,13,0.6389,3,0,0,0
2013-2014,Alabama,1104,2013-14,2013,2014,"Anthony Grant",Alabama,7,32,13,19,0.4063,3,0,0,0
2014-2015,Alabama,1104,2014-15,2014,2015,"Anthony Grant",Alabama,8,32,18,14,0.5625,3,0,0,0
1997-1998,"American Univ",1110,1997-98,1997,1998,"Art Perry",American,1,28,9,19,0.3214,0,0,0,0
1998-1999,"American Univ",1110,1998-99,1998,1999,"Art Perry",American,2,28,7,21,0.2500,0,0,0,0
1999-1900,"American Univ",1110,1999-00,1999,1900,"Art Perry",American,3,29,11,18,0.3793,0,0,0,0
1975-1976,"Appalachian St",1111,1975-76,1975,1976,"Bobby Cremins","Appalachian State",0,27,13,14,0.4815,0,0,0,0
1976-1977,"Appalachian St",1111,1976-77,1976,1977,"Bobby Cremins","Appalachian State",1,29,17,12,0.5862,0,0,0,0
1977-1978,"Appalachian St",1111,1977-78,1977,1978,"Bobby Cremins","Appalachian State",2,28,15,13,0.5357,0,0,1,0
1978-1979,"Appalachian St",1111,1978-79,1978,1979,"Bobby Cremins","Appalachian State",3,29,23,6,0.7931,0,1,1,1
1979-1980,"Appalachian St",1111,1979-80,1979,1980,"Bobby Cremins","Appalachian State",4,28,12,16,0.4286,1,0,0,0
1980-1981,"Appalachian St",1111,1980-81,1980,1981,"Bobby Cremins","Appalachian State",5,29,20,9,0.6897,1,0,1,0
1982-1983,Arizona,1112,1982-83,1982,1983,"Ben Lindsey",Arizona,0,28,4,24,0.1429,0,0,0,0
1989-1990,"Arizona St",1113,1989-90,1989,1990,"Bill Frieder","Arizona State",9,31,15,16,0.4839,4,0,0,0
1990-1991,"Arizona St",1113,1990-91,1990,1991,"Bill Frieder","Arizona State",10,30,20,10,0.6667,4,1,0,0
1991-1992,"Arizona St",1113,1991-92,1991,1992,"Bill Frieder","Arizona State",11,33,19,14,0.5758,5,0,0,0
1992-1993,"Arizona St",1113,1992-93,1992,1993,"Bill Frieder","Arizona State",12,28,18,10,0.6429,5,0,0,0
1993-1994,"Arizona St",1113,1993-94,1993,1994,"Bill Frieder","Arizona State",13,28,15,13,0.5357,5,0,0,0
1994-1995,"Arizona St",1113,1994-95,1994,1995,"Bill Frieder","Arizona State",14,33,24,9,0.7273,5,1,0,0
1995-1996,"Arizona St",1113,1995-96,1995,1996,"Bill Frieder","Arizona State",15,27,11,16,0.4074,6,0,0,0
1996-1997,"Arizona St",1113,1996-97,1996,1997,"Bill Frieder","Arizona State",16,30,10,20,0.3333,6,0,0,0
1988-1989,"Arizona St",1113,1988-89,1988,1989,"Bob Schermerhorn","Arizona State",0,9,2,7,0.2222,0,0,0,0
1982-1983,"Arizona St",1113,1982-83,1982,1983,"Bob Weinhauer","Arizona State",5,33,19,14,0.5758,4,0,0,0
1983-1984,"Arizona St",1113,1983-84,1983,1984,"Bob Weinhauer","Arizona State",6,28,13,15,0.4643,4,0,0,0
1984-1985,"Arizona St",1113,1984-85,1984,1985,"Bob Weinhauer","Arizona State",7,28,12,16,0.4286,4,0,0,0
2015-2016,"Arizona St",1113,2015-16,2015,2016,"Bobby Hurley","Arizona State",2,27,14,13,0.5185,1,0,0,0
2007-2008,"Arkansas St",1117,2007-08,2007,2008,"Al Grushkin","Arkansas State",0,4,1,3,0.2500,0,0,0,0
1965-1966,Army,1119,1965-66,1965,1966,"Bob Knight",Army,0,26,18,8,0.6923,0,0,0,0
1966-1967,Army,1119,1966-67,1966,1967,"Bob Knight",Army,1,21,13,8,0.6190,0,0,0,0
1967-1968,Army,1119,1967-68,1967,1968,"Bob Knight",Army,2,25,20,5,0.8000,0,0,0,0
1968-1969,Army,1119,1968-69,1968,1969,"Bob Knight",Army,3,28,18,10,0.6429,0,0,0,0
1969-1970,Army,1119,1969-70,1969,1970,"Bob Knight",Army,4,28,22,6,0.7857,0,0,0,0
1970-1971,Army,1119,1970-71,1970,1971,"Bob Knight",Army,5,24,11,13,0.4583,0,0,0,0
2014-2015,Auburn,1120,2014-15,2014,2015,"Bruce Pearl",Auburn,13,35,15,20,0.4286,8,0,0,0
2015-2016,Auburn,1120,2015-16,2015,2016,"Bruce Pearl",Auburn,14,26,10,16,0.3846,8,0,0,0
1982-1983,"Ball St",1123,1982-83,1982,1983,"Al Brown","Ball State",0,29,17,12,0.5862,0,0,0,0
1983-1984,"Ball St",1123,1983-84,1983,1984,"Al Brown","Ball State",1,27,8,19,0.2963,0,0,0,0
1984-1985,"Ball St",1123,1984-85,1984,1985,"Al Brown","Ball State",2,29,13,16,0.4483,0,0,0,0
1985-1986,"Ball St",1123,1985-86,1985,1986,"Al Brown","Ball State",3,31,21,10,0.6774,0,1,0,1
1986-1987,"Ball St",1123,1986-87,1986,1987,"Al Brown","Ball State",4,27,9,18,0.3333,1,0,0,0
2007-2008,"Ball St",1123,2007-08,2007,2008,"Billy Taylor","Ball State",5,30,6,24,0.2000,1,0,0,0
2008-2009,"Ball St",1123,2008-09,2008,2009,"Billy Taylor","Ball State",6,31,14,17,0.4516,1,0,1,0
2009-2010,"Ball St",1123,2009-10,2009,2010,"Billy Taylor","Ball State",7,30,15,15,0.5000,1,0,0,0
2010-2011,"Ball St",1123,2010-11,2010,2011,"Billy Taylor","Ball State",8,32,19,13,0.5938,1,0,0,0
2011-2012,"Ball St",1123,2011-12,2011,2012,"Billy Taylor","Ball State",9,30,15,15,0.5000,1,0,0,0
2012-2013,"Ball St",1123,2012-13,2012,2013,"Billy Taylor","Ball State",10,30,15,15,0.5000,1,0,0,0
2001-2002,Binghamton,1127,2001-02,2001,2002,"Al Walker",Binghamton,8,28,9,19,0.3214,0,0,0,0
2002-2003,Binghamton,1127,2002-03,2002,2003,"Al Walker",Binghamton,9,27,14,13,0.5185,0,1,0,0
2003-2004,Binghamton,1127,2003-04,2003,2004,"Al Walker",Binghamton,10,30,14,16,0.4667,1,0,0,0
2004-2005,Binghamton,1127,2004-05,2004,2005,"Al Walker",Binghamton,11,29,12,17,0.4138,1,0,0,0
2005-2006,Binghamton,1127,2005-06,2005,2006,"Al Walker",Binghamton,12,29,16,13,0.5517,1,0,0,0
2006-2007,Binghamton,1127,2006-07,2006,2007,"Al Walker",Binghamton,13,29,13,16,0.4483,1,0,0,0
1983-1984,"Boise St",1129,1983-84,1983,1984,"Bobby Dye","Boise State",9,28,15,13,0.5357,1,0,0,0
1984-1985,"Boise St",1129,1984-85,1984,1985,"Bobby Dye","Boise State",10,29,16,13,0.5517,1,0,0,0
1985-1986,"Boise St",1129,1985-86,1985,1986,"Bobby Dye","Boise State",11,28,12,16,0.4286,1,0,0,0
1986-1987,"Boise St",1129,1986-87,1986,1987,"Bobby Dye","Boise State",12,30,22,8,0.7333,1,0,0,0
1987-1988,"Boise St",1129,1987-88,1987,1988,"Bobby Dye","Boise State",13,30,24,6,0.8000,1,1,1,1
1988-1989,"Boise St",1129,1988-89,1988,1989,"Bobby Dye","Boise State",14,30,23,7,0.7667,2,0,1,0
1989-1990,"Boise St",1129,1989-90,1989,1990,"Bobby Dye","Boise State",15,27,12,15,0.4444,2,0,0,0
1990-1991,"Boise St",1129,1990-91,1990,1991,"Bobby Dye","Boise State",16,29,18,11,0.6207,2,0,0,0
1991-1992,"Boise St",1129,1991-92,1991,1992,"Bobby Dye","Boise State",17,29,16,13,0.5517,2,0,0,0
1992-1993,"Boise St",1129,1992-93,1992,1993,"Bobby Dye","Boise State",18,29,21,8,0.7241,2,1,0,1
1993-1994,"Boise St",1129,1993-94,1993,1994,"Bobby Dye","Boise State",19,30,17,13,0.5667,3,1,0,1
1994-1995,"Boise St",1129,1994-95,1994,1995,"Bobby Dye","Boise State",20,27,17,10,0.6296,4,0,0,0
1973-1974,"Boise St",1129,1973-74,1973,1974,"Bus Connor","Boise State",0,26,12,14,0.4615,0,0,0,0
1974-1975,"Boise St",1129,1974-75,1974,1975,"Bus Connor","Boise State",1,26,13,13,0.5000,0,0,0,0
1975-1976,"Boise St",1129,1975-76,1975,1976,"Bus Connor","Boise State",2,29,18,11,0.6207,0,1,1,1
1976-1977,"Boise St",1129,1976-77,1976,1977,"Bus Connor","Boise State",3,26,10,16,0.3846,1,0,0,0
1977-1978,"Boise St",1129,1977-78,1977,1978,"Bus Connor","Boise State",4,27,13,14,0.4815,1,0,0,0
1978-1979,"Boise St",1129,1978-79,1978,1979,"Bus Connor","Boise State",5,26,11,15,0.4231,1,0,0,0
1979-1980,"Boise St",1129,1979-80,1979,1980,"Bus Connor","Boise State",6,26,10,16,0.3846,1,0,0,0
1997-1998,"Boston College",1130,1997-98,1997,1998,"Al Skinner","Boston College",9,31,15,16,0.4839,2,0,0,0
1998-1999,"Boston College",1130,1998-99,1998,1999,"Al Skinner","Boston College",10,27,6,21,0.2222,2,0,0,0
1999-1900,"Boston College",1130,1999-00,1999,1900,"Al Skinner","Boston College",11,30,11,19,0.3667,2,0,0,0
2000-2001,"Boston College",1130,2000-01,2000,2001,"Al Skinner","Boston College",12,32,27,5,0.8438,2,1,1,1
2001-2002,"Boston College",1130,2001-02,2001,2002,"Al Skinner","Boston College",13,32,20,12,0.6250,3,1,0,0
2002-2003,"Boston College",1130,2002-03,2002,2003,"Al Skinner","Boston College",14,31,19,12,0.6129,4,0,1,0
2003-2004,"Boston College",1130,2003-04,2003,2004,"Al Skinner","Boston College",15,34,24,10,0.7059,4,1,0,0
2004-2005,"Boston College",1130,2004-05,2004,2005,"Al Skinner","Boston College",16,30,25,5,0.8333,5,1,1,0
2005-2006,"Boston College",1130,2005-06,2005,2006,"Al Skinner","Boston College",17,36,28,8,0.7778,6,1,0,0
2006-2007,"Boston College",1130,2006-07,2006,2007,"Al Skinner","Boston College",18,33,21,12,0.6364,7,1,0,0
2007-2008,"Boston College",1130,2007-08,2007,2008,"Al Skinner","Boston College",19,31,14,17,0.4516,8,0,0,0
2008-2009,"Boston College",1130,2008-09,2008,2009,"Al Skinner","Boston College",20,34,22,12,0.6471,8,1,0,0
2009-2010,"Boston College",1130,2009-10,2009,2010,"Al Skinner","Boston College",21,31,15,16,0.4839,9,0,0,0
1971-1972,"Boston College",1130,1971-72,1971,1972,"Bob Zuffelato","Boston College",0,26,13,13,0.5000,0,0,0,0
1972-1973,"Boston College",1130,1972-73,1972,1973,"Bob Zuffelato","Boston College",1,25,11,14,0.4400,0,0,0,0
1973-1974,"Boston College",1130,1973-74,1973,1974,"Bob Zuffelato","Boston College",2,30,21,9,0.7000,0,0,0,0
1974-1975,"Boston College",1130,1974-75,1974,1975,"Bob Zuffelato","Boston College",3,30,21,9,0.7000,0,1,0,0
1975-1976,"Boston College",1130,1975-76,1975,1976,"Bob Zuffelato","Boston College",4,26,9,17,0.3462,1,0,0,0
1976-1977,"Boston College",1130,1976-77,1976,1977,"Bob Zuffelato","Boston College",5,26,8,18,0.3077,1,0,0,0
1990-1991,"Boston Univ",1131,1990-91,1990,1991,"Bob Brown","Boston University",0,29,11,18,0.3793,0,0,0,0
1991-1992,"Boston Univ",1131,1991-92,1991,1992,"Bob Brown","Boston University",1,28,10,18,0.3571,0,0,0,0
1992-1993,"Boston Univ",1131,1992-93,1992,1993,"Bob Brown","Boston University",2,27,6,21,0.2222,0,0,0,0
1993-1994,"Boston Univ",1131,1993-94,1993,1994,"Bob Brown","Boston University",3,27,11,16,0.4074,0,0,0,0
2015-2016,Bradley,1133,2015-16,2015,2016,"Brian Wardle",Bradley,5,29,5,24,0.1724,0,0,0,0
2013-2014,Buffalo,1138,2013-14,2013,2014,"Bobby Hurley",Buffalo,0,29,19,10,0.6552,0,0,1,0
2014-2015,Buffalo,1138,2014-15,2014,2015,"Bobby Hurley",Buffalo,1,33,23,10,0.6970,0,1,1,1
1989-1990,Butler,1139,1989-90,1989,1990,"Barry Collier",Butler,0,28,6,22,0.2143,0,0,0,0
1990-1991,Butler,1139,1990-91,1990,1991,"Barry Collier",Butler,1,29,18,11,0.6207,0,0,0,0
1991-1992,Butler,1139,1991-92,1991,1992,"Barry Collier",Butler,2,31,21,10,0.6774,0,0,0,0
1992-1993,Butler,1139,1992-93,1992,1993,"Barry Collier",Butler,3,28,11,17,0.3929,0,0,0,0
1993-1994,Butler,1139,1993-94,1993,1994,"Barry Collier",Butler,4,29,16,13,0.5517,0,0,0,0
1994-1995,Butler,1139,1994-95,1994,1995,"Barry Collier",Butler,5,27,15,12,0.5556,0,0,0,0
1995-1996,Butler,1139,1995-96,1995,1996,"Barry Collier",Butler,6,27,19,8,0.7037,0,0,0,0
1996-1997,Butler,1139,1996-97,1996,1997,"Barry Collier",Butler,7,33,23,10,0.6970,0,1,1,1
1997-1998,Butler,1139,1997-98,1997,1998,"Barry Collier",Butler,8,33,22,11,0.6667,1,1,0,1
1998-1999,Butler,1139,1998-99,1998,1999,"Barry Collier",Butler,9,32,22,10,0.6875,2,0,0,0
1999-1900,Butler,1139,1999-00,1999,1900,"Barry Collier",Butler,10,31,23,8,0.7419,2,1,1,1
2007-2008,Butler,1139,2007-08,2007,2008,"Brad Stevens",Butler,0,34,30,4,0.8824,0,1,1,1
2008-2009,Butler,1139,2008-09,2008,2009,"Brad Stevens",Butler,1,32,26,6,0.8125,1,1,1,0
2009-2010,Butler,1139,2009-10,2009,2010,"Brad Stevens",Butler,2,38,33,5,0.8684,2,1,1,1
2010-2011,Butler,1139,2010-11,2010,2011,"Brad Stevens",Butler,3,38,28,10,0.7368,3,1,1,1
2011-2012,Butler,1139,2011-12,2011,2012,"Brad Stevens",Butler,4,37,22,15,0.5946,4,0,0,0
2012-2013,Butler,1139,2012-13,2012,2013,"Brad Stevens",Butler,5,36,27,9,0.7500,4,1,0,0
2013-2014,Butler,1139,2013-14,2013,2014,"Brandon Miller",Butler,0,31,14,17,0.4516,0,0,0,0
2014-2015,Butler,1139,2014-15,2014,2015,"Brandon Miller",Butler,1,34,23,11,0.6765,0,1,0,0
1985-1986,Campbell,1144,1985-86,1985,1986,"Billy Lee",Campbell,0,27,8,19,0.2963,0,0,0,0
1986-1987,Campbell,1144,1986-87,1986,1987,"Billy Lee",Campbell,1,30,17,13,0.5667,0,0,0,0
1987-1988,Campbell,1144,1987-88,1987,1988,"Billy Lee",Campbell,2,27,11,16,0.4074,0,0,0,0
1988-1989,Campbell,1144,1988-89,1988,1989,"Billy Lee",Campbell,3,30,18,12,0.6000,0,0,0,0
1989-1990,Campbell,1144,1989-90,1989,1990,"Billy Lee",Campbell,4,28,15,13,0.5357,0,0,0,0
1990-1991,Campbell,1144,1990-91,1990,1991,"Billy Lee",Campbell,5,28,9,19,0.3214,0,0,0,0
1991-1992,Campbell,1144,1991-92,1991,1992,"Billy Lee",Campbell,6,31,19,12,0.6129,0,1,0,1
1992-1993,Campbell,1144,1992-93,1992,1993,"Billy Lee",Campbell,7,27,12,15,0.4444,1,0,0,0
1993-1994,Campbell,1144,1993-94,1993,1994,"Billy Lee",Campbell,8,29,20,9,0.6897,1,0,0,0
1994-1995,Campbell,1144,1994-95,1994,1995,"Billy Lee",Campbell,9,26,8,18,0.3077,1,0,0,0
1995-1996,Campbell,1144,1995-96,1995,1996,"Billy Lee",Campbell,10,28,17,11,0.6071,1,0,0,0
1996-1997,Campbell,1144,1996-97,1996,1997,"Billy Lee",Campbell,11,27,11,16,0.4074,1,0,0,0
1997-1998,Campbell,1144,1997-98,1997,1998,"Billy Lee",Campbell,12,27,10,17,0.3704,1,0,0,0
1998-1999,Campbell,1144,1998-99,1998,1999,"Billy Lee",Campbell,13,27,9,18,0.3333,1,0,0,0
1999-1900,Campbell,1144,1999-00,1999,1900,"Billy Lee",Campbell,14,28,12,16,0.4286,1,0,0,0
2000-2001,Campbell,1144,2000-01,2000,2001,"Billy Lee",Campbell,15,28,7,21,0.2500,1,0,0,0
2001-2002,Campbell,1144,2001-02,2001,2002,"Billy Lee",Campbell,16,27,8,19,0.2963,1,0,0,0
2002-2003,Campbell,1144,2002-03,2002,2003,"Billy Lee",Campbell,17,27,5,22,0.1852,1,0,0,0
1986-1987,"Central Conn",1148,1986-87,1986,1987,"Bill Detrick","Central Connecticut State",0,29,8,21,0.2759,0,0,0,0
1987-1988,"Central Conn",1148,1987-88,1987,1988,"Bill Detrick","Central Connecticut State",1,5,2,3,0.4000,0,0,0,0
2005-2006,"Charleston So",1149,2005-06,2005,2006,"Barclay Radebaugh","Charleston Southern",0,29,13,16,0.4483,0,0,0,0
2006-2007,"Charleston So",1149,2006-07,2006,2007,"Barclay Radebaugh","Charleston Southern",1,30,8,22,0.2667,0,0,0,0
2007-2008,"Charleston So",1149,2007-08,2007,2008,"Barclay Radebaugh","Charleston Southern",2,30,10,20,0.3333,0,0,0,0
2008-2009,"Charleston So",1149,2008-09,2008,2009,"Barclay Radebaugh","Charleston Southern",3,29,9,20,0.3103,0,0,0,0
2009-2010,"Charleston So",1149,2009-10,2009,2010,"Barclay Radebaugh","Charleston Southern",4,30,13,17,0.4333,0,0,0,0
2010-2011,"Charleston So",1149,2010-11,2010,2011,"Barclay Radebaugh","Charleston Southern",5,32,16,16,0.5000,0,0,0,0
2011-2012,"Charleston So",1149,2011-12,2011,2012,"Barclay Radebaugh","Charleston Southern",6,31,19,12,0.6129,0,0,0,0
2012-2013,"Charleston So",1149,2012-13,2012,2013,"Barclay Radebaugh","Charleston Southern",7,32,19,13,0.5938,0,0,1,0
2013-2014,"Charleston So",1149,2013-14,2013,2014,"Barclay Radebaugh","Charleston Southern",8,31,13,18,0.4194,0,0,0,0
2014-2015,"Charleston So",1149,2014-15,2014,2015,"Barclay Radebaugh","Charleston Southern",9,31,19,12,0.6129,0,0,1,0
2015-2016,"Charleston So",1149,2015-16,2015,2016,"Barclay Radebaugh","Charleston Southern",10,28,9,19,0.3214,0,0,0,0
2010-2011,Charlotte,1150,2010-11,2010,2011,"Alan Major",Charlotte,0,30,10,20,0.3333,0,0,0,0
2011-2012,Charlotte,1150,2011-12,2011,2012,"Alan Major",Charlotte,1,30,13,17,0.4333,0,0,0,0
2012-2013,Charlotte,1150,2012-13,2012,2013,"Alan Major",Charlotte,2,33,21,12,0.6364,0,0,0,0
2013-2014,Charlotte,1150,2013-14,2013,2014,"Alan Major",Charlotte,3,31,17,14,0.5484,0,0,0,0
2014-2015,Charlotte,1150,2014-15,2014,2015,"Alan Major",Charlotte,4,13,6,7,0.4615,0,0,0,0
1972-1973,Charlotte,1150,1972-73,1972,1973,"Bill C. Foster",Charlotte,0,26,14,12,0.5385,0,0,0,0
1973-1974,Charlotte,1150,1973-74,1973,1974,"Bill C. Foster",Charlotte,1,26,22,4,0.8462,0,0,0,0
1974-1975,Charlotte,1150,1974-75,1974,1975,"Bill C. Foster",Charlotte,2,26,23,3,0.8846,0,0,0,0
1998-1999,Charlotte,1150,1998-99,1998,1999,"Bobby Lutz",Charlotte,0,34,23,11,0.6765,0,1,0,1
1999-1900,Charlotte,1150,1999-00,1999,1900,"Bobby Lutz",Charlotte,1,33,17,16,0.5152,1,0,0,0
2000-2001,Charlotte,1150,2000-01,2000,2001,"Bobby Lutz",Charlotte,2,33,22,11,0.6667,1,1,0,1
2001-2002,Charlotte,1150,2001-02,2001,2002,"Bobby Lutz",Charlotte,3,30,18,12,0.6000,2,1,0,0
2002-2003,Charlotte,1150,2002-03,2002,2003,"Bobby Lutz",Charlotte,4,29,13,16,0.4483,3,0,0,0
2003-2004,Charlotte,1150,2003-04,2003,2004,"Bobby Lutz",Charlotte,5,30,21,9,0.7000,3,1,1,0
2004-2005,Charlotte,1150,2004-05,2004,2005,"Bobby Lutz",Charlotte,6,29,21,8,0.7241,4,1,0,0
2005-2006,Charlotte,1150,2005-06,2005,2006,"Bobby Lutz",Charlotte,7,32,19,13,0.5938,5,0,0,0
2006-2007,Charlotte,1150,2006-07,2006,2007,"Bobby Lutz",Charlotte,8,30,14,16,0.4667,5,0,0,0
2007-2008,Charlotte,1150,2007-08,2007,2008,"Bobby Lutz",Charlotte,9,34,20,14,0.5882,5,0,0,0
2008-2009,Charlotte,1150,2008-09,2008,2009,"Bobby Lutz",Charlotte,10,31,11,20,0.3548,5,0,0,0
2009-2010,Charlotte,1150,2009-10,2009,2010,"Bobby Lutz",Charlotte,11,31,19,12,0.6129,5,0,0,0
2007-2008,"Chicago St",1152,2007-08,2007,2008,"Benjy Taylor","Chicago State",0,28,11,17,0.3929,0,0,0,0
2008-2009,"Chicago St",1152,2008-09,2008,2009,"Benjy Taylor","Chicago State",1,32,19,13,0.5938,0,0,0,0
2009-2010,"Chicago St",1152,2009-10,2009,2010,"Benjy Taylor","Chicago State",2,32,9,23,0.2813,0,0,0,0
1998-1999,"Chicago St",1152,1998-99,1998,1999,"Bo Ellis","Chicago State",0,27,3,24,0.1111,0,0,0,0
1999-1900,"Chicago St",1152,1999-00,1999,1900,"Bo Ellis","Chicago State",1,28,10,18,0.3571,0,0,0,0
2000-2001,"Chicago St",1152,2000-01,2000,2001,"Bo Ellis","Chicago State",2,28,5,23,0.1786,0,0,0,0
2001-2002,"Chicago St",1152,2001-02,2001,2002,"Bo Ellis","Chicago State",3,28,2,26,0.0714,0,0,0,0
2002-2003,"Chicago St",1152,2002-03,2002,2003,"Bo Ellis","Chicago State",4,18,3,15,0.1667,0,0,0,0
1984-1985,"Chicago St",1152,1984-85,1984,1985,"Bob Hallberg","Chicago State",0,27,16,11,0.5926,0,0,0,0
1985-1986,"Chicago St",1152,1985-86,1985,1986,"Bob Hallberg","Chicago State",1,28,22,6,0.7857,0,0,0,0
1986-1987,"Chicago St",1152,1986-87,1986,1987,"Bob Hallberg","Chicago State",2,28,11,17,0.3929,0,0,0,0
2005-2006,Cincinnati,1153,2005-06,2005,2006,"Andy Kennedy",Cincinnati,0,34,21,13,0.6176,0,0,0,0
1989-1990,Cincinnati,1153,1989-90,1989,1990,"Bob Huggins",Cincinnati,5,34,20,14,0.5882,1,0,0,0
1990-1991,Cincinnati,1153,1990-91,1990,1991,"Bob Huggins",Cincinnati,6,30,18,12,0.6000,1,0,0,0
1991-1992,Cincinnati,1153,1991-92,1991,1992,"Bob Huggins",Cincinnati,7,34,29,5,0.8529,1,1,1,1
1992-1993,Cincinnati,1153,1992-93,1992,1993,"Bob Huggins",Cincinnati,8,32,27,5,0.8438,2,1,1,1
1993-1994,Cincinnati,1153,1993-94,1993,1994,"Bob Huggins",Cincinnati,9,32,22,10,0.6875,3,1,0,1
1994-1995,Cincinnati,1153,1994-95,1994,1995,"Bob Huggins",Cincinnati,10,34,22,12,0.6471,4,1,0,1
1995-1996,Cincinnati,1153,1995-96,1995,1996,"Bob Huggins",Cincinnati,11,33,28,5,0.8485,5,1,1,1
1996-1997,Cincinnati,1153,1996-97,1996,1997,"Bob Huggins",Cincinnati,12,34,26,8,0.7647,6,1,1,0
1997-1998,Cincinnati,1153,1997-98,1997,1998,"Bob Huggins",Cincinnati,13,33,27,6,0.8182,7,1,1,1
1998-1999,Cincinnati,1153,1998-99,1998,1999,"Bob Huggins",Cincinnati,14,33,27,6,0.8182,8,1,1,0
1999-1900,Cincinnati,1153,1999-00,1999,1900,"Bob Huggins",Cincinnati,15,33,29,4,0.8788,9,1,1,0
2000-2001,Cincinnati,1153,2000-01,2000,2001,"Bob Huggins",Cincinnati,16,35,25,10,0.7143,10,1,1,0
2001-2002,Cincinnati,1153,2001-02,2001,2002,"Bob Huggins",Cincinnati,17,35,31,4,0.8857,11,1,1,1
2002-2003,Cincinnati,1153,2002-03,2002,2003,"Bob Huggins",Cincinnati,18,29,17,12,0.5862,12,1,0,0
2003-2004,Cincinnati,1153,2003-04,2003,2004,"Bob Huggins",Cincinnati,19,32,25,7,0.7813,13,1,1,1
2004-2005,Cincinnati,1153,2004-05,2004,2005,"Bob Huggins",Cincinnati,20,33,25,8,0.7576,14,1,0,0
1975-1976,Clemson,1155,1975-76,1975,1976,"Bill C. Foster",Clemson,3,28,18,10,0.6429,0,0,0,0
1976-1977,Clemson,1155,1976-77,1976,1977,"Bill C. Foster",Clemson,4,28,22,6,0.7857,0,0,0,0
1977-1978,Clemson,1155,1977-78,1977,1978,"Bill C. Foster",Clemson,5,27,15,12,0.5556,0,0,0,0
1978-1979,Clemson,1155,1978-79,1978,1979,"Bill C. Foster",Clemson,6,29,19,10,0.6552,0,0,0,0
1979-1980,Clemson,1155,1979-80,1979,1980,"Bill C. Foster",Clemson,7,32,23,9,0.7188,0,1,0,0
1980-1981,Clemson,1155,1980-81,1980,1981,"Bill C. Foster",Clemson,8,31,20,11,0.6452,1,0,0,0
1981-1982,Clemson,1155,1981-82,1981,1982,"Bill C. Foster",Clemson,9,28,14,14,0.5000,1,0,0,0
1982-1983,Clemson,1155,1982-83,1982,1983,"Bill C. Foster",Clemson,10,31,11,20,0.3548,1,0,0,0
1983-1984,Clemson,1155,1983-84,1983,1984,"Bill C. Foster",Clemson,11,28,14,14,0.5000,1,0,0,0
2010-2011,Clemson,1155,2010-11,2010,2011,"Brad Brownell",Clemson,8,34,22,12,0.6471,3,1,0,0
2011-2012,Clemson,1155,2011-12,2011,2012,"Brad Brownell",Clemson,9,31,16,15,0.5161,4,0,0,0
2012-2013,Clemson,1155,2012-13,2012,2013,"Brad Brownell",Clemson,10,31,13,18,0.4194,4,0,0,0
2013-2014,Clemson,1155,2013-14,2013,2014,"Brad Brownell",Clemson,11,36,23,13,0.6389,4,0,0,0
2014-2015,Clemson,1155,2014-15,2014,2015,"Brad Brownell",Clemson,12,31,16,15,0.5161,4,0,0,0
2015-2016,Clemson,1155,2015-16,2015,2016,"Brad Brownell",Clemson,13,27,16,11,0.5926,4,0,0,0
2006-2007,"Col Charleston",1158,2006-07,2006,2007,"Bobby Cremins","College of Charleston",31,33,22,11,0.6667,11,0,0,0
2007-2008,"Col Charleston",1158,2007-08,2007,2008,"Bobby Cremins","College of Charleston",32,33,16,17,0.4848,11,0,0,0
2008-2009,"Col Charleston",1158,2008-09,2008,2009,"Bobby Cremins","College of Charleston",33,36,27,9,0.7500,11,0,0,0
2009-2010,"Col Charleston",1158,2009-10,2009,2010,"Bobby Cremins","College of Charleston",34,34,22,12,0.6471,11,0,0,0
